UTC Time,Elapsed Time (s),Angle (degrees),Current,Confidence
2025-04-17T19:49:59.341789+00:00,0.030,NaN,1,0
2025-04-17T19:49:59.443085+00:00,0.132,NaN,1,0
2025-04-17T19:49:59.575533+00:00,0.264,NaN,1,0
2025-04-17T19:49:59.677441+00:00,0.366,NaN,1,0
2025-04-17T19:49:59.808609+00:00,0.497,NaN,1,0
2025-04-17T19:49:59.943105+00:00,0.632,NaN,1,0
2025-04-17T19:50:00.075632+00:00,0.764,NaN,1,0
2025-04-17T19:50:00.209799+00:00,0.898,NaN,1,0
2025-04-17T19:50:00.343287+00:00,1.032,NaN,1,0
2025-04-17T19:50:00.475284+00:00,1.164,NaN,1,0
2025-04-17T19:50:00.575597+00:00,1.264,NaN,1,0
2025-04-17T19:50:00.677319+00:00,1.366,NaN,1,0
2025-04-17T19:50:00.809136+00:00,1.498,NaN,1,0
2025-04-17T19:50:00.909209+00:00,1.598,NaN,1,0
2025-04-17T19:50:01.043117+00:00,1.732,NaN,1,0
2025-04-17T19:50:01.175621+00:00,1.864,NaN,1,0
2025-04-17T19:50:01.279737+00:00,1.968,NaN,1,0
2025-04-17T19:50:01.410006+00:00,2.099,NaN,1,0
2025-04-17T19:50:01.543406+00:00,2.232,NaN,1,0
2025-04-17T19:50:01.643445+00:00,2.332,NaN,1,0
2025-04-17T19:50:01.775497+00:00,2.464,NaN,1,0
2025-04-17T19:50:01.909032+00:00,2.598,NaN,1,0
2025-04-17T19:50:02.009480+00:00,2.698,NaN,1,0
2025-04-17T19:50:02.143517+00:00,2.832,NaN,1,0
2025-04-17T19:50:02.275634+00:00,2.964,NaN,1,0
2025-04-17T19:50:02.408771+00:00,3.097,NaN,1,0
2025-04-17T19:50:02.508947+00:00,3.197,NaN,1,0
2025-04-17T19:50:02.609002+00:00,3.298,NaN,1,0
2025-04-17T19:50:02.741552+00:00,3.430,NaN,1,0
2025-04-17T19:50:02.842781+00:00,3.531,NaN,1,0
2025-04-17T19:50:02.975350+00:00,3.664,NaN,1,0
2025-04-17T19:50:03.108211+00:00,3.797,NaN,1,0
2025-04-17T19:50:03.242126+00:00,3.931,NaN,1,0
2025-04-17T19:50:03.374760+00:00,4.063,NaN,1,0
2025-04-17T19:50:03.509061+00:00,4.198,NaN,1,0
2025-04-17T19:50:03.609917+00:00,4.298,101.3,1,36.1
2025-04-17T19:50:03.711165+00:00,4.400,92.9,1,20.9
2025-04-17T19:50:03.843360+00:00,4.532,86.8,1,28.3
2025-04-17T19:50:03.976620+00:00,4.665,70.6,1,3.8
2025-04-17T19:50:04.109173+00:00,4.798,70.6,1,0.0
2025-04-17T19:50:04.243230+00:00,4.932,70.6,1,0.0
2025-04-17T19:50:04.375748+00:00,5.064,70.6,1,0.0
2025-04-17T19:50:04.508903+00:00,5.197,70.6,1,0.0
2025-04-17T19:50:04.643339+00:00,5.332,70.6,1,0.0
2025-04-17T19:50:04.744091+00:00,5.433,70.6,1,0.0
2025-04-17T19:50:04.877396+00:00,5.566,70.6,1,0.0
2025-04-17T19:50:05.009023+00:00,5.698,70.6,1,0.0
2025-04-17T19:50:05.110590+00:00,5.799,139.6,1,16.4
2025-04-17T19:50:05.241861+00:00,5.930,172.4,1,31.7
2025-04-17T19:50:05.375059+00:00,6.064,165.3,1,31.3
2025-04-17T19:50:05.509506+00:00,6.198,124.9,1,15.1
2025-04-17T19:50:05.642546+00:00,6.331,100.6,1,16.5
2025-04-17T19:50:05.744341+00:00,6.433,92.7,1,16.3
2025-04-17T19:50:05.876429+00:00,6.565,79.4,1,12.4
2025-04-17T19:50:05.976662+00:00,6.665,60.2,1,0.0
2025-04-17T19:50:06.109417+00:00,6.798,60.2,1,0.0
2025-04-17T19:50:06.242483+00:00,6.931,60.2,1,0.0
2025-04-17T19:50:06.375772+00:00,7.064,60.2,1,0.0
2025-04-17T19:50:06.509316+00:00,7.198,60.2,1,0.0
2025-04-17T19:50:06.642919+00:00,7.331,60.2,1,0.0
2025-04-17T19:50:06.775478+00:00,7.464,60.2,1,0.0
2025-04-17T19:50:06.880189+00:00,7.569,108.6,1,34.9
2025-04-17T19:50:07.009705+00:00,7.698,137.9,1,18.1
2025-04-17T19:50:07.142807+00:00,7.831,177.9,1,28.5
2025-04-17T19:50:07.275534+00:00,7.964,186.9,1,0.0
2025-04-17T19:50:07.375865+00:00,8.064,169.7,1,28.0
2025-04-17T19:50:07.509206+00:00,8.198,126.6,1,18.7
2025-04-17T19:50:07.642440+00:00,8.331,105.7,1,24.6
2025-04-17T19:50:07.744016+00:00,8.433,91.3,1,29.9
2025-04-17T19:50:07.875577+00:00,8.564,69.1,1,10.8
2025-04-17T19:50:08.008830+00:00,8.697,69.1,1,0.0
2025-04-17T19:50:08.141532+00:00,8.830,69.1,1,0.0
2025-04-17T19:50:08.243063+00:00,8.932,69.1,1,0.0
