UTC Time,Elapsed Time (s),Angle (degrees),Current,Confidence
2025-04-17T20:02:57.615461+00:00,0.030,NaN,1.5,0
2025-04-17T20:02:57.739836+00:00,0.155,NaN,1.5,0
2025-04-17T20:02:57.850413+00:00,0.265,NaN,1.5,0
2025-04-17T20:02:57.975953+00:00,0.391,NaN,1.5,0
2025-04-17T20:02:58.083705+00:00,0.499,NaN,1.5,0
2025-04-17T20:02:58.209997+00:00,0.625,NaN,1.5,0
2025-04-17T20:02:58.335062+00:00,0.750,NaN,1.5,0
2025-04-17T20:02:58.444256+00:00,0.859,NaN,1.5,0
2025-04-17T20:02:58.570670+00:00,0.986,NaN,1.5,0
2025-04-17T20:02:58.679714+00:00,1.095,NaN,1.5,0
2025-04-17T20:02:58.805584+00:00,1.221,NaN,1.5,0
2025-04-17T20:02:58.914111+00:00,1.329,NaN,1.5,0
2025-04-17T20:02:59.038686+00:00,1.454,NaN,1.5,0
2025-04-17T20:02:59.148728+00:00,1.564,NaN,1.5,0
2025-04-17T20:02:59.274016+00:00,1.689,NaN,1.5,0
2025-04-17T20:02:59.417454+00:00,1.832,NaN,1.5,0
2025-04-17T20:02:59.541302+00:00,1.956,NaN,1.5,0
2025-04-17T20:02:59.650009+00:00,2.065,NaN,1.5,0
2025-04-17T20:02:59.775771+00:00,2.191,NaN,1.5,0
2025-04-17T20:02:59.915948+00:00,2.331,NaN,1.5,0
2025-04-17T20:03:00.043081+00:00,2.458,NaN,1.5,0
2025-04-17T20:03:00.181929+00:00,2.597,NaN,1.5,0
2025-04-17T20:03:00.307925+00:00,2.723,NaN,1.5,0
2025-04-17T20:03:00.450828+00:00,2.866,NaN,1.5,0
2025-04-17T20:03:00.574888+00:00,2.990,NaN,1.5,0
2025-04-17T20:03:00.719030+00:00,3.134,68.2,1.5,8.9
2025-04-17T20:03:00.840672+00:00,3.256,18.1,1.5,18.8
2025-04-17T20:03:00.950110+00:00,3.365,357.0,1.5,41.1
2025-04-17T20:03:01.074299+00:00,3.489,32.5,1.5,18.4
2025-04-17T20:03:01.216038+00:00,3.631,74.6,1.5,18.2
2025-04-17T20:03:01.338624+00:00,3.754,88.2,1.5,25.9
2025-04-17T20:03:01.450364+00:00,3.865,102.4,1.5,3.9
2025-04-17T20:03:01.574578+00:00,3.990,121.7,1.5,0.0
2025-04-17T20:03:01.716122+00:00,4.131,121.7,1.5,0.0
2025-04-17T20:03:01.840203+00:00,4.255,121.7,1.5,0.0
2025-04-17T20:03:01.949047+00:00,4.364,121.7,1.5,0.0
2025-04-17T20:03:02.076153+00:00,4.491,121.7,1.5,0.0
2025-04-17T20:03:02.201673+00:00,4.617,121.7,1.5,0.0
2025-04-17T20:03:02.311648+00:00,4.727,121.7,1.5,0.0
2025-04-17T20:03:02.437307+00:00,4.852,121.7,1.5,0.0
2025-04-17T20:03:02.546789+00:00,4.962,121.7,1.5,0.0
2025-04-17T20:03:02.671471+00:00,5.086,121.7,1.5,0.0
2025-04-17T20:03:02.780334+00:00,5.195,121.7,1.5,0.0
2025-04-17T20:03:02.907670+00:00,5.323,121.7,1.5,0.0
2025-04-17T20:03:03.017247+00:00,5.432,104.8,1.5,12.3
2025-04-17T20:03:03.141405+00:00,5.556,121.2,1.5,0.0
2025-04-17T20:03:03.282808+00:00,5.698,121.2,1.5,0.0
2025-04-17T20:03:03.407532+00:00,5.822,121.2,1.5,0.0
2025-04-17T20:03:03.517806+00:00,5.933,121.2,1.5,0.0
2025-04-17T20:03:03.641550+00:00,6.056,121.2,1.5,0.0
2025-04-17T20:03:03.782995+00:00,6.198,121.2,1.5,0.0
2025-04-17T20:03:03.909030+00:00,6.324,121.2,1.5,0.0
2025-04-17T20:03:04.035536+00:00,6.450,121.2,1.5,0.0
2025-04-17T20:03:04.145264+00:00,6.560,121.2,1.5,0.0
2025-04-17T20:03:04.271209+00:00,6.686,121.2,1.5,0.0
2025-04-17T20:03:04.379890+00:00,6.795,121.2,1.5,0.0
2025-04-17T20:03:04.504494+00:00,6.919,121.2,1.5,0.0
2025-04-17T20:03:04.613620+00:00,7.029,121.2,1.5,0.0
2025-04-17T20:03:04.739611+00:00,7.155,121.2,1.5,0.0
2025-04-17T20:03:04.849567+00:00,7.265,121.2,1.5,0.0
2025-04-17T20:03:04.976159+00:00,7.391,121.2,1.5,0.0
2025-04-17T20:03:05.116951+00:00,7.532,121.2,1.5,0.0
2025-04-17T20:03:05.243899+00:00,7.659,121.2,1.5,0.0
2025-04-17T20:03:05.369464+00:00,7.784,121.2,1.5,0.0
2025-04-17T20:03:05.481575+00:00,7.897,121.2,1.5,0.0
2025-04-17T20:03:05.606226+00:00,8.021,121.2,1.5,0.0
2025-04-17T20:03:05.715851+00:00,8.131,121.2,1.5,0.0
2025-04-17T20:03:05.842519+00:00,8.257,121.2,1.5,0.0
2025-04-17T20:03:05.982694+00:00,8.398,121.2,1.5,0.0
2025-04-17T20:03:06.108946+00:00,8.524,121.2,1.5,0.0
2025-04-17T20:03:06.248155+00:00,8.663,121.2,1.5,0.0
2025-04-17T20:03:06.374405+00:00,8.789,121.2,1.5,0.0
2025-04-17T20:03:06.516004+00:00,8.931,121.2,1.5,0.0
2025-04-17T20:03:06.641180+00:00,9.056,121.2,1.5,0.0
2025-04-17T20:03:06.782814+00:00,9.198,121.2,1.5,0.0
2025-04-17T20:03:06.907784+00:00,9.323,121.2,1.5,0.0
2025-04-17T20:03:07.048701+00:00,9.464,121.2,1.5,0.0
2025-04-17T20:03:07.173395+00:00,9.588,121.2,1.5,0.0
2025-04-17T20:03:07.283216+00:00,9.698,121.2,1.5,0.0
2025-04-17T20:03:07.409511+00:00,9.824,121.2,1.5,0.0
2025-04-17T20:03:07.517135+00:00,9.932,121.2,1.5,0.0
2025-04-17T20:03:07.644176+00:00,10.059,121.2,1.5,0.0
2025-04-17T20:03:07.770048+00:00,10.185,121.2,1.5,0.0
2025-04-17T20:03:07.881369+00:00,10.296,121.2,1.5,0.0
2025-04-17T20:03:08.008395+00:00,10.423,121.2,1.5,0.0
2025-04-17T20:03:08.118630+00:00,10.534,121.2,1.5,0.0
2025-04-17T20:03:08.242051+00:00,10.657,121.2,1.5,0.0
2025-04-17T20:03:08.382693+00:00,10.798,113.1,1.5,20.3
2025-04-17T20:03:08.509058+00:00,10.924,113.1,1.5,0.0
2025-04-17T20:03:08.648971+00:00,11.064,113.1,1.5,0.0
2025-04-17T20:03:08.774157+00:00,11.189,113.1,1.5,0.0
2025-04-17T20:03:08.916650+00:00,11.332,113.1,1.5,0.0
2025-04-17T20:03:09.041397+00:00,11.456,113.1,1.5,0.0
2025-04-17T20:03:09.181300+00:00,11.596,113.1,1.5,0.0
2025-04-17T20:03:09.306575+00:00,11.722,113.1,1.5,0.0
2025-04-17T20:03:09.449442+00:00,11.864,142.0,1.5,29.8
2025-04-17T20:03:09.575496+00:00,11.990,171.4,1.5,60.9
2025-04-17T20:03:09.716213+00:00,12.131,171.4,1.5,0.0
2025-04-17T20:03:09.841421+00:00,12.256,143.1,1.5,41.6
2025-04-17T20:03:09.983068+00:00,12.398,115.0,1.5,0.0
2025-04-17T20:03:10.109276+00:00,12.524,115.0,1.5,0.0
2025-04-17T20:03:10.250239+00:00,12.665,115.0,1.5,0.0
2025-04-17T20:03:10.374589+00:00,12.790,115.0,1.5,0.0
2025-04-17T20:03:10.515706+00:00,12.931,115.0,1.5,0.0
2025-04-17T20:03:10.641542+00:00,13.056,115.0,1.5,0.0
2025-04-17T20:03:10.781638+00:00,13.197,115.0,1.5,0.0
2025-04-17T20:03:10.907697+00:00,13.323,115.0,1.5,0.0
2025-04-17T20:03:11.017174+00:00,13.432,145.9,1.5,18.9
2025-04-17T20:03:11.143294+00:00,13.558,172.0,1.5,79.9
2025-04-17T20:03:11.283501+00:00,13.698,169.4,1.5,75.4
2025-04-17T20:03:11.408160+00:00,13.823,139.5,1.5,36.3
2025-04-17T20:03:11.549001+00:00,13.964,102.3,1.5,90.0
2025-04-17T20:03:11.674393+00:00,14.089,63.5,1.5,45.8
2025-04-17T20:03:11.783637+00:00,14.199,29.6,1.5,62.0
2025-04-17T20:03:11.911018+00:00,14.326,357.4,1.5,56.8
2025-04-17T20:03:12.036234+00:00,14.451,357.2,1.5,68.8
2025-04-17T20:03:12.145663+00:00,14.561,18.5,1.5,53.7
2025-04-17T20:03:12.271139+00:00,14.686,60.8,1.5,20.2
2025-04-17T20:03:12.380350+00:00,14.795,88.6,1.5,44.7
2025-04-17T20:03:12.505860+00:00,14.921,124.8,1.5,41.7
2025-04-17T20:03:12.616271+00:00,15.031,136.0,1.5,0.0
2025-04-17T20:03:12.742083+00:00,15.157,136.0,1.5,0.0
2025-04-17T20:03:12.868685+00:00,15.284,136.0,1.5,0.0
2025-04-17T20:03:12.977781+00:00,15.393,136.0,1.5,0.0
2025-04-17T20:03:13.103650+00:00,15.519,136.0,1.5,0.0
2025-04-17T20:03:13.214091+00:00,15.629,136.0,1.5,0.0
2025-04-17T20:03:13.340198+00:00,15.755,136.0,1.5,0.0
2025-04-17T20:03:13.482795+00:00,15.898,136.0,1.5,0.0
2025-04-17T20:03:13.608730+00:00,16.024,136.0,1.5,0.0
2025-04-17T20:03:13.735005+00:00,16.150,136.0,1.5,0.0
2025-04-17T20:03:13.845080+00:00,16.260,136.0,1.5,0.0
2025-04-17T20:03:13.968760+00:00,16.384,136.0,1.5,0.0
2025-04-17T20:03:14.080225+00:00,16.495,136.0,1.5,0.0
2025-04-17T20:03:14.201995+00:00,16.617,136.0,1.5,0.0
2025-04-17T20:03:14.311330+00:00,16.726,136.0,1.5,0.0
2025-04-17T20:03:14.435356+00:00,16.850,136.0,1.5,0.0
2025-04-17T20:03:14.546180+00:00,16.961,136.0,1.5,0.0
2025-04-17T20:03:14.670924+00:00,17.086,136.0,1.5,0.0
2025-04-17T20:03:14.781812+00:00,17.197,136.0,1.5,0.0
